KEYS,ENGLISH,,FRENCH,GERMAN,CZECH,PORTUGUESE,RUSSIA
,English,Español,Français,Deutsch,Čeština,Português (Brasil),Русский
STR_CROSSPOINT,CrossPoint,CrossPoint,CrossPoint,CrossPoint,CrossPoint,CrossPoint,CrossPoint
STR_BOOTING,BOOTING,BOOTING,DÉMARRAGE EN COURS,STARTEN,SPUŠTĚNÍ,INICIANDO,Загрузка
STR_SLEEPING,SLEEPING,SLEEPING,VEILLE,STANDBY,SPÁNEK,EM REPOUSO,Спящий режим
STR_ENTERING_SLEEP,Entering Sleep...,ENTERING SLEEP...,Mise en veille…,Standby...,Vstup do režimu spánku...,Entrando em repouso...,Переход в сон...
STR_BROWSE_FILES,Browse Files,Buscar archivos,Fichiers,Durchsuchen,Procházet soubory,Procurar arquivos,Обзор файлов
STR_FILE_TRANSFER,File Transfer,Transferencia de archivos,Transfert,Datentransfer,Přenos souborů,Transferência,Передача файлов
STR_SETTINGS_TITLE,Settings,Configuración,Réglages,Einstellungen,Nastavení,Configurações,Настройки
STR_CALIBRE_LIBRARY,Calibre Library,Libreria Calibre,Bibliothèque Calibre,Calibre-Bibliothek,Knihovna Calibre,Biblioteca do Calibre,Библиотека Calibre
STR_CONTINUE_READING,Continue Reading,Continuar leyendo,Continuer la lecture,Weiterlesen,Pokračovat ve čtení,Continuar lendo,Продолжить чтение
STR_NO_OPEN_BOOK,No open book,No hay libros abiertos,Aucun livre ouvert,Aktuell kein Buch,Žádná otevřená kniha,Nenhum livro aberto,Нет открытой книги
STR_START_READING,Start reading below,Start reading below,Lisez votre premier livre ci-dessous,Lesen beginnen,Začněte číst níže,Comece a ler abaixo,Начать чтение ниже
STR_BOOKS,Books,Libros,Livres,Bücher,Knihy,Livros,Книги
STR_NO_BOOKS_FOUND,No books found,No se encontraron libros,Dossier vide,Keine Bücher,Žádné knihy nenalezeny,Sem livros,Книги не найдены
STR_SELECT_CHAPTER,Select Chapter,Seleccionar capítulo,Choix du chapitre,Kapitel auswählen,Vybrat kapitolu,Selecionar capítulo,Выберите главу
STR_NO_CHAPTERS,No chapters,Sin capítulos,Aucun chapitre,Keine Kapitel,Žádné kapitoly,Sem capítulos,Глав нет
STR_END_OF_BOOK,End of book,Fin del libro,Fin du livre,Buchende,Konec knihy,Fim do livro,Конец книги
STR_EMPTY_CHAPTER,Empty chapter,Capítulo vacío,Chapitre vide,Kapitelende,Prázdná kapitola,Capítulo vazio,Пустая глава
STR_INDEXING,Indexing...,Indexando...,Indexation en cours…,Indexieren…,Indexování...,Indexando...,Индексация...
STR_MEMORY_ERROR,Memory error,Error de memoria,Erreur de mémoire,Speicherfehler,Chyba paměti,Erro de memória,Ошибка памяти
STR_PAGE_LOAD_ERROR,Page load error,Error al cargar la página,Erreur de chargement,Seitenladefehler,Chyba načítání stránky,Erro página,Ошибка загрузки страницы
STR_EMPTY_FILE,Empty file,Archivo vacío,Fichier vide,Leere Datei,Prázdný soubor,Arquivo vazio,Пустой файл
STR_OUT_OF_BOUNDS,Out of bounds,Out of bounds,Dépassement de mémoire,Zu groß,Mimo hranice,Fora dos limites,Выход за пределы
STR_LOADING,Loading...,Cargando...,Chargement…,Laden…,Načítání...,Carregando...,Загрузка...
STR_LOAD_XTC_FAILED,Failed to load XTC,Error al cargar XTC,Erreur de chargement du fichier XTC,Ladefehler bei XTC,Nepodařilo se načíst XTC,Falha ao carregar XTC,Не удалось загрузить XTC
STR_LOAD_TXT_FAILED,Failed to load TXT,Error al cargar TXT,Erreur de chargement du fichier TXT,Ladefehler bei TXT,Nepodařilo se načíst TXT,Falha ao carregar TXT,Не удалось загрузить TXT
STR_LOAD_EPUB_FAILED,Failed to load EPUB,Error al cargar EPUB,Erreur de chargement du fichier EPUB,Ladefehler bei EPUB,Nepodařilo se načíst EPUB,Falha ao carregar EPUB,Не удалось загрузить EPUB
STR_SD_CARD_ERROR,SD card error,Error en la tarjeta SD,Carte mémoire absente,SD-Karten-Fehler,Chyba SD karty,Erro no cartão SD,Ошибка SD-карты
STR_WIFI_NETWORKS,WiFi Networks,Redes Wi-Fi,Réseaux WiFi,WLAN-Netzwerke,Wi-Fi sítě,Redes Wi‑Fi,Wi-Fi сети
STR_NO_NETWORKS,No networks found,No hay redes disponibles,Aucun réseau,Kein WLAN gefunden,Žádné sítě nenalezeny,Sem redes,Сети не найдены
STR_NETWORKS_FOUND,%zu networks found,%zu redes encontradas,%zu réseaux,%zu WLAN-Netzwerke gefunden,Nalezeno %zu sítí,%zu redes encontradas,Найдено сетей: %zu
STR_SCANNING,Scanning...,Buscando...,Recherche de réseaux en cours…,Suchen...,Skenování...,Procurando...,Сканирование...
STR_CONNECTING,Connecting...,Conectando...,Connexion en cours…,Verbinden...,Připojování...,Conectando...,Подключение...
STR_CONNECTED,Connected!,Conectado!,Connecté !,Verbunden!,Připojeno!,Conectado!,Подключено!
STR_CONNECTION_FAILED,Connection Failed,Error de conexion,Échec de la connexion,Verbindungsfehler,Připojení se nezdařilo,Falha na conexão,Ошибка подключения
STR_CONNECTION_TIMEOUT,Connection timeout,Connection timeout,Délai de connexion dépassé,Verbindungs-Timeout,Časový limit připojení,Tempo limite conexão,Тайм-аут подключения
STR_FORGET_NETWORK,Forget Network?,Olvidar la red?,Oublier ce réseau ?,WLAN vergessen?,Zapomenout síť?,Esquecer rede?,Забыть сеть?
STR_SAVE_PASSWORD,Save password for next time?,Guardar contraseña para la próxima vez?,Enregistrer le mot de passe ?,Passwort speichern?,Uložit heslo pro příště?,Salvar senha a próxima vez?,Сохранить пароль?
STR_REMOVE_PASSWORD,Remove saved password?,Borrar contraseñas guardadas?,Supprimer le mot de passe enregistré ?,Passwort entfernen?,Odstranit uložené heslo?,Remover senha salva?,Удалить сохранённый пароль?
STR_PRESS_OK_SCAN,Press OK to scan again,Presione OK para buscar de nuevo,Appuyez sur OK pour détecter à nouveau,OK für neue Suche,Stiskněte OK pro přeskenování,Pressione OK procurar novamente,Нажмите OK для повторного поиска
STR_PRESS_ANY_CONTINUE,Press any button to continue,Presione cualquier botón para continuar,Appuyez sur une touche pour continuer,Beliebige Taste drücken,Pokračujte stiskem libovolné klávesy,Pressione qualquer botão continuar,Нажмите любую кнопку
STR_SELECT_HINT,LEFT/RIGHT: Select | OK: Confirm,Izquierda/Derecha: Seleccionar | OK: Confirmar,GAUCHE/DROITE: Sélectionner | OK: Valider,links/rechts: Auswahl | OK: Best,VLEVO/VPRAVO: Vybrat | OK: Potvrdit,ESQ/DIR: Selecionar | OK: Confirmar,ВЛЕВО/ВПРАВО: выбор | OK: подтвердить
STR_HOW_CONNECT,How would you like to connect?,Cómo te gustaría conectarte?,Comment voulez-vous vous connecter ?,Wie möchtest du dich verbinden?,Jak se chcete připojit?,Como você gostaria se conectar?,Как вы хотите подключиться?
STR_JOIN_NETWORK,Join a Network,Unirse a una red,Connexion à un réseau,Netzwerk beitreten,Připojit se k síti,Entrar em uma rede,Подключиться к сети
STR_CREATE_HOTSPOT,Create Hotspot,Crear punto de acceso,Créer un point d’accès,Hotspot erstellen,Vytvořit hotspot,Criar hotspot,Создать точку доступа
STR_JOIN_DESC,Connect to an existing WiFi network,Conectarse a una red Wi-Fi existente,Se connecter à un réseau WiFi existant,Mit einem bestehenden WLAN verbinden,Připojit se k existující síti WiFi,Conecte-se a uma rede Wi‑Fi existente,Подключение к существующей сети Wi-Fi
STR_HOTSPOT_DESC,Create a WiFi network others can join,Crear una red Wi-Fi para que otros se unan,Créer un réseau WiFi accessible depuis d’autres appareils,WLAN für andere erstellen,"Vytvořit síť WiFi, ke které se mohou připojit ostatní",Crie uma rede Wi‑Fi outras pessoas entrarem,Создать сеть Wi-Fi для подключения других
STR_STARTING_HOTSPOT,Starting Hotspot...,Iniciando punto de acceso...,Création du point d’accès en cours…,Hotspot starten…,Spouštění hotspotu...,Iniciando hotspot...,Запуск точки доступа...
STR_HOTSPOT_MODE,Hotspot Mode,Modo punto de acceso,Mode point d’accès,Hotspot-Modus,Režim hotspotu,Modo hotspot,Режим точки доступа
STR_CONNECT_WIFI_HINT,Connect your device to this WiFi network,Conectar su dispositivo a esta red Wi-Fi,Connectez un appareil à ce réseau WiFi,Gerät mit diesem WLAN verbinden,Připojte své zařízení k této síti WiFi,Conecte seu dispositivo a esta rede Wi‑Fi,Подключите устройство к этой сети Wi-Fi
STR_OPEN_URL_HINT,Open this URL in your browser,Abre esta dirección en tu navegador,Ouvrez cette URL dans votre navigateur,Diese URL im Browser öffnen,Otevřete tuto URL ve svém prohlížeči,Abra este URL seu navegador,Откройте этот адрес в браузере
STR_OR_HTTP_PREFIX,or http://,o http://,ou http://,oder http://,nebo http://,ou http://,или http://
STR_SCAN_QR_HINT,or scan QR code with your phone:,o escanee este código QR con su móvil:,ou scannez le QR code avec votre téléphone,oder QR-Code mit dem Handy scannen:,nebo naskenujte QR kód telefonem:,ou escaneie o QR code com seu celular:,или отсканируйте QR-код:
STR_CALIBRE_WIRELESS,Calibre Wireless,Calibre inalámbrico,Connexion à Calibre sans fil,Calibre Wireless,Calibre Wireless,Calibre sem fio,Calibre по Wi-Fi
STR_CALIBRE_WEB_URL,Calibre Web URL,URL del sitio web de Calibre,URL Web Calibre,Calibre-Web-URL,URL webu Calibre,URL do Calibre Web,Web-адрес Calibre
STR_CONNECT_WIRELESS,Connect as Wireless Device,Conectar como dispositivo inalámbrico,Se connecter comme appareil sans fil,Als Drahtlos-Gerät hinzufügen,Připojit jako bezdrátové zařízení,Conectar como dispositivo sem fio,Подключить как беспроводное устройство
STR_NETWORK_LEGEND,* = Encrypted | + = Saved,* = Cifrado | + = Guardado,* = Sécurisé | + = Sauvegardé,* = Verschlüsselt | + = Gespeichert,* = Šifrováno | + = Uloženo,* = Criptografada | + = Salva,* = Защищена | + = Сохранена
STR_MAC_ADDRESS,MAC address:,Dirección MAC:,Adresse MAC :,MAC-Adresse:,MAC adresa:,Endereço MAC:,MAC-адрес:
STR_CHECKING_WIFI,Checking WiFi...,Verificando Wi-Fi...,Vérification du réseau WiFi...,WLAN prüfen…,Kontrola WiFi...,Verificando Wi‑Fi...,Проверка Wi-Fi...
STR_ENTER_WIFI_PASSWORD,Enter WiFi Password,Introduzca la contraseña de Wi-Fi,Entrez le mot de passe WiFi,WLAN-Passwort eingeben,Zadejte heslo WiFi,Digite a senha Wi‑Fi,Введите пароль Wi-Fi
STR_ENTER_TEXT,Enter Text,Introduzca el texto,Entrez le texte,Text eingeben,Zadejte text,Inserir texto,Введите текст
STR_TO_PREFIX,to ,a ,à ,bis,pro,para,к 
STR_CALIBRE_DISCOVERING,Discovering Calibre...,Discovering Calibre...,Recherche de Calibre en cours…,Calibre finden...,Prozkoumávání Calibre...,Procurando o Calibre...,Поиск Calibre...
STR_CALIBRE_CONNECTING_TO,Connecting to ,Conectándose a,Connexion à ,Verbinden mit,Připojování k,Conectando a,Подключение к 
STR_CALIBRE_CONNECTED_TO,Connected to ,Conectado a ,Connecté à  ,Verbunden mit,Připojeno k,Conectado a,Подключено к 
STR_CALIBRE_WAITING_COMMANDS,Waiting for commands...,Esperando comandos...,En attente de commandes…,Auf Befehle warten…,Čekám na příkazy…,Aguardando comandos...,Ожидание команд...
STR_CONNECTION_FAILED_RETRYING,"(Connection failed, retrying)","(Error de conexión, intentándolo nuevamente)","(Échec de la connexion, nouvelle tentative)","(Keine Verbindung, wiederholen)","(Připojení se nezdařilo, opakování pokusu)","(Falha conexão, tentando novamente)","(Ошибка подключения,  повтор)"
STR_CALIBRE_DISCONNECTED,Calibre disconnected,Calibre desconectado,Calibre déconnecté,Calibre getrennt,Calibre odpojeno,Calibre desconectado,Соединение с Calibre разорвано
STR_CALIBRE_WAITING_TRANSFER,Waiting for transfer...,Esperando transferencia...,En attente de transfert…,Auf Übertragung warten...,Čekání na přenos...,Aguardando transferência...,Ожидание передачи...
STR_CALIBRE_TRANSFER_HINT,"If transfer fails, enable\n'Ignore free space' in Calibre's\nSmartDevice plugin settings.","Si la transferencia falla, habilite \n'Ignorar espacio libre' en las configuraciones del \nplugin smartdevice de calibre.","Si le transfert échoue, activez\n’Ignorer l’espace libre’ dans les\nparamètres du plugin SmartDevice de Calibre.",Bei Übertragungsfehler \n'Freien Speicher ign.' in den\nCalibre-Einstellungen einschalten.,"Nezdaří-li se přenos, povolte\n„Ignorovat volné místo“ v Calibre\nnastavení pluginu SmartDevice.","Se a transferência falhar, ative
\n'Ignorar espaço livre'\n nas \nconfigurações do
plugin SmartDevice\n Calibre.","Если передача не удаётся,  включите\n'Ignore free space' в настройках\nплагина SmartDevice в Calibre."
STR_CALIBRE_RECEIVING,Receiving: ,Recibiendo: ,Réception : ,Empfange:,Příjem:,Recebendo:,Получение: 
STR_CALIBRE_RECEIVED,Received: ,Recibido: ,Reçus : ,Empfangen:,Přijato:,Recebido:,Получено: 
STR_CALIBRE_WAITING_MORE,Waiting for more...,Esperando más...,En attente de données supplémentaires…,Auf mehr warten…,Čekání na další...,Aguardando mais...,Ожидание следующих файлов...
STR_CALIBRE_FAILED_CREATE_FILE,Failed to create file,Error al crear el archivo,Échec de la création du fichier,Speicherfehler,Nepodařilo se vytvořit soubor,Falha ao criar o arquivo,Не удалось создать файл
STR_CALIBRE_PASSWORD_REQUIRED,Password required,Contraseña requerida,Mot de passe requis,Passwort nötig,Vyžadováno heslo,Senha obrigatória,Требуется пароль
STR_CALIBRE_TRANSFER_INTERRUPTED,Transfer interrupted,Transferencia interrumpida,Transfert interrompu,Übertragung unterbrochen,Přenos přerušen,Transf. interrompida,Передача прервана
STR_CALIBRE_INSTRUCTION_1,1) Install CrossPoint Reader plugin,1) Instala CrossPoint Reader plugin,1) Installer le plugin CrossPoint Reader,1) CrossPoint Reader-Plugin installieren,1) Nainstalujte plugin CrossPoint Reader,1) Instale o plugin CrossPoint Reader,1) Установите плагин CrossPoint Reader
STR_CALIBRE_INSTRUCTION_2,2) Be on the same WiFi network,2) Conéctese a la misma red Wi-Fi,2) Se connecter au même réseau WiFi,2) Mit selbem WLAN verbinden,2) Buďte ve stejné síti WiFi,2) Esteja mesma rede Wi‑Fi,2) Подключитесь к той же сети Wi-Fi
STR_CALIBRE_INSTRUCTION_3,"3) In Calibre: ""Send to device""","3)  En Calibre: ""Enviar a dispotivo""",3) Dans Calibre : ‘Envoyer vers l’appareil’,"3) In Calibre: ""An Gerät senden""",3) V Calibre: „Odeslat do zařízení“,"3) No Calibre: ""Enviar o dispositivo""",3) В Calibre выберите: «Отправить на устройство»
STR_CALIBRE_INSTRUCTION_4,"""Keep this screen open while sending""","""Permanezca en esta pantalla mientras se envía""",“Gardez cet écran ouvert pendant le transfert”,Bildschirm beim Senden offenlassen,„Při odesílání ponechat tuto obrazovku otevřenou“,"""Mantenha esta tela aberta durante o envio""",Не закрывайте этот экран во время отправки
STR_CAT_DISPLAY,Display,Pantalla,Affichage,Anzeige,Displej,Tela,Экран
STR_CAT_READER,Reader,Lector,Lecteur,Lesen,Čtečka,Leitor,Чтение
STR_CAT_CONTROLS,Controls,Control,Commandes,Bedienung,Ovládací prvky,Controles,Управление
STR_CAT_SYSTEM,System,Sistema,Système,System,Systém,Sistema,Система
STR_SLEEP_SCREEN,Sleep Screen,Salva Pantallas,Écran de veille,Standby-Bild,Obrazovka spánku,Tela de repouso,Экран сна
STR_SLEEP_COVER_MODE,Sleep Screen Cover Mode,Modo de salva pantallas,Mode d’image de l’écran de veille,Standby-Bildmodus,Obrazovka spánku Režim krytu,Modo capa tela repouso,Режим обложки сна
STR_STATUS_BAR,Status Bar,Barra de estado,Barre d’état,Statusleiste,Stavový řádek,Barra de status,Строка состояния
STR_HIDE_BATTERY,Hide Battery %,Ocultar porcentaje de batería,Masquer % batterie,Batterie % ausblenden,Skrýt baterii %,Ocultar % da bateria,Скрыть % батареи
STR_EXTRA_SPACING,Extra Paragraph Spacing,Espaciado extra de párrafos,Espacement des paragraphes,Absatzabstand,Extra mezery mezi odstavci,Espaço de parágrafos extra,Доп. интервал абзаца
STR_TEXT_AA,Text Anti-Aliasing,Suavizado de bordes de texto,Lissage du texte,Schriftglättung,Vyhlazování textu,Suavização de texto,Сглаживание текста
STR_SHORT_PWR_BTN,Short Power Button Click,Clic breve del botón de encendido,Appui court bout. alim.,An-Taste kurz drücken,Krátké stisknutí tlačítka napájení,Clique curto botão ligar,Короткое нажатие кнопки питания
STR_ORIENTATION,Reading Orientation,Orientación de la lectura,Orientation de lecture,Leseausrichtung,Orientace čtení,Orientação de leitura,Ориентация чтения
STR_FRONT_BTN_LAYOUT,Front Button Layout,Diseño de los botones frontales,Disposition des boutons avant,Vorderes Tastenlayout,Rozvržení předních tlačítek,Disposição botões frontais,Расположение передних кнопок
STR_SIDE_BTN_LAYOUT,Side Button Layout (reader),Diseño de los botones laterales (Lector),Disposition des boutons latéraux,Seitliche Tasten (Lesen),Rozvržení bočních tlačítek (čtečka),Disposição botões laterais,Расположение боковых кнопок
STR_LONG_PRESS_SKIP,Long-press Chapter Skip,Pasar a la capítulo al presiónar largamente,Appui long pour saut de chapitre,Langes Drücken springt Kap.,Dlouhé stisknutí Přeskočit kapitolu,Pular capítulo com pressão longa,Долгое нажатие - смена главы
STR_FONT_FAMILY,Reader Font Family,Familia de tipografía del lector,Police de caractères du lecteur,Lese-Schriftfamilie,Rodina písem čtečky,Fonte do leitor,Шрифт чтения
STR_EXT_READER_FONT,External Reader Font,Tipografía externa,Police externe,Externe Schriftart,Písmo externí čtečky,Fonte leitor externo,Внешний шрифт чтения
STR_EXT_CHINESE_FONT,Reader Font,Tipografía (Lectura),Police du lecteur,Lese-Schriftart,Písmo čtečky,Fonte do leitor,Шрифт CJK
STR_EXT_UI_FONT,UI Font,Tipografía (Pantalla),Police de l’interface,Menü-Schriftart,Písmo rozhraní,Fonte da interface,Шрифт интерфейса
STR_FONT_SIZE,UI Font Size,Tamaño de la fuente (Pantalla),Taille du texte de l’interface,Schriftgröße,Velikost písma rozhraní,Tam. fonte UI,Размер шрифта интерфейса
STR_LINE_SPACING,Reader Line Spacing,Interlineado (Lectura),Espacement des lignes,Lese-Zeilenabstand,Řádkování čtečky,Espaçamento entre linhas,Межстрочный интервал
STR_ASCII_LETTER_SPACING,ASCII Letter Spacing,Espaciado de letras ASCII,Espacement des lettres ASCII,ASCII-Zeichenabstand,Mezery písmen ASCII,Espaçamento letras ASCII,Интервал букв ASCII
STR_ASCII_DIGIT_SPACING,ASCII Digit Spacing,Espaciado de dígitos ASCII,Espacement des chiffres ASCII,ASCII-Ziffernabstand,Mezery číslic ASCII,Espaçamento dígitos ASCII,Интервал цифр ASCII
STR_CJK_SPACING,CJK Spacing,Espaciado CJK,Espacement CJK,CJK-Zeichenabstand,Mezery CJK,Espaçamento CJK,Интервал CJK
STR_COLOR_MODE,Color Mode,Modo de color,Mode couleur,Farbmodus,Režim barev,Modo de cor,Цветовой режим
STR_SCREEN_MARGIN,Reader Screen Margin,Margen de lectura,Marges du lecteur,Lese-Seitenränder,Okraj obrazovky čtečky,Margens da tela,Поля экрана
STR_PARA_ALIGNMENT,Reader Paragraph Alignment,Ajuste de parágrafo del lector,Alignement des paragraphes,Lese-Absatzausrichtung,Zarovnání odstavců čtečky,Alinhamento parágrafo,Выравнивание абзаца
STR_HYPHENATION,Hyphenation,Hyphenation,Césure,Silbentrennung,Dělení slov,Hifenização,Перенос слов
STR_TIME_TO_SLEEP,Time to Sleep,Tiempo para dormir,Mise en veille automatique,Standby nach,Čas do uspání,Tempo para repousar,Сон Через
STR_REFRESH_FREQ,Refresh Frequency,Frecuencia de actualización,Fréquence de rafraîchissement,Anti-Ghosting nach,Frekvence obnovení,Frequência atualização,Частота обновления
STR_CALIBRE_SETTINGS,Calibre Settings,Configuraciones de Calibre,Réglages Calibre,Calibre-Einstellungen,Nastavení Calibre,Configuração do Calibre,Настройки Calibre
STR_KOREADER_SYNC,KOReader Sync,Síncronización de KOReader,Synchronisation KOReader,KOReader-Synchr.,KOReaderu Sync,Sincronização KOReader,Синхронизация KOReader
STR_CHECK_UPDATES,Check for updates,Verificar actualizaciones,Mise à jour,Nach Updates suchen,Zkontrolovat aktualizace,Verificar atualizações,Проверить обновления
STR_LANGUAGE,Language,Idioma,Langue,Sprache,Jazyk,Idioma,Язык
STR_SELECT_WALLPAPER,Select Wallpaper,Seleccionar fondo,Fond d’écran,Bildauswahl Standby,Vybrat tapetu,Selecionar papel parede,Выбрать обои
STR_CLEAR_READING_CACHE,Clear Reading Cache,Borrar caché de lectura,Vider le cache de lecture,Lese-Cache leeren,Vymazat mezipaměť čtení,Limpar cache de leitura,Очистить кэш чтения
STR_CALIBRE,Calibre,Calibre,Calibre,Calibre,Calibre,Calibre,Calibre
STR_USERNAME,Username,Nombre de usuario,Nom d’utilisateur,Benutzername,Uživatelské jméno,Nome de usuário,Имя пользователя
STR_PASSWORD,Password,Contraseña,Mot de passe,Passwort nötig,Heslo,Senha,Пароль
STR_SYNC_SERVER_URL,Sync Server URL,URL del servidor de síncronización,URL du serveur,Sync-Server-URL,URL synch. serveru,URL servidor sincronização,URL сервера синхронизации
STR_DOCUMENT_MATCHING,Document Matching,Coincidencia de documentos,Correspondance,Dateizuordnung,Párování dokumentů,Documento correspondente,Сопоставление документов
STR_AUTHENTICATE,Authenticate,Autentificar,Se connecter,Authentifizieren,Ověření,Autenticar,Авторизация
STR_KOREADER_USERNAME,KOReader Username,Nombre de usuario de KOReader,Nom d’utilisateur,KOReader-Benutzername,Uživ. jméno KOReaderu,Usuário do KOReader,Имя пользователя KOReader
STR_KOREADER_PASSWORD,KOReader Password,Contraseña de KOReader,Mot de passe,KOReader-Passwort,Heslo KOReaderu,Senha do KOReader,Пароль KOReader
STR_FILENAME,Filename,Nombre del archivo,Nom de fichier,Dateiname,Název souboru,Nome do arquivo,Имя файла
STR_BINARY,Binary,Binario,Binaire,Binärdatei,Binární,Binário,Бинарный
STR_SET_CREDENTIALS_FIRST,Set credentials first,Configurar credenciales primero,Identifiants manquants,Zuerst anmelden,Nastavte přihlašovací údaje,Defina as credenciais primeiro,Сначала укажите данные
STR_WIFI_CONN_FAILED,WiFi connection failed,Falló la conexión Wi-Fi,Échec de connexion WiFi,WLAN-Verbindung fehlgeschlagen,Připojení k Wi-Fi selhalo,Falha na conexão Wi‑Fi,Не удалось подключиться к Wi-Fi
STR_AUTHENTICATING,Authenticating...,Autentificando...,Connexion en cours…,Authentifizieren…,Ověřování...,Autenticando...,Авторизация...
STR_AUTH_SUCCESS,Successfully authenticated!,Autenticación exitsosa!,Connexion réussie !,Erfolgreich authentifiziert!,Úspěšné ověření!,Autenticado com sucesso!,Авторизация успешна!
STR_KOREADER_AUTH,KOReader Auth,Autenticación KOReader,Auth KOReader,KOReader-Auth,Ověření KOReaderu,Autenticação KOReader,Авторизация KOReader
STR_SYNC_READY,KOReader sync is ready to use,La síncronización de KOReader está lista para usarse,Synchronisation KOReader prête,KOReader-Synchronisierung bereit,Synchronizace KOReaderu je připravena k použití,A sincronização KOReader está pronta uso,Синхронизация KOReader готова
STR_AUTH_FAILED,Authentication Failed,Falló la autenticación,Échec de la connexion,Authentifizierung fehlg.,Ověření selhalo,Falha na autenticação,Ошибка авторизации
STR_DONE,Done,Hecho,OK,Erledigt,Hotovo,Feito,Готово
STR_CLEAR_CACHE_WARNING_1,This will clear all cached book data.,Esto borrará todos los datos en cache del libro.,Le cache de votre bibliothèque sera entièrement vidé,Alle Buch-Caches werden geleert.,Tímto vymažete všechna data knih v mezipaměti.,Isso vai limpar todos os dados livros em cache.,Будут удалены все данные кэша книг.
STR_CLEAR_CACHE_WARNING_2,All reading progress will be lost!, ¡Se perderá todo el avance de leer!,Votre progression de lecture sera perdue !,Lesefortschritt wird gelöscht!,Veškerý průběh čtení bude ztracen!,Todo o progresso de leitura será perdido!,Весь прогресс чтения будет потерян!
