KEYS,ENGLISH,,FRENCH,GERMAN,CZECH,PORTUGUESE,RUSSIA
STR_CLEAR_CACHE_WARNING_3,Books will need to be re-indexed,Los libros deberán ser reíndexados,Les livres devront être réindexés,Bücher müssen beim Öffnen,Knihy bude nutné znovu indexovat,Os livros precisarão ser reindexados,Книги потребуется переиндексировать
STR_CLEAR_CACHE_WARNING_4,when opened again.,cuando se abran de nuevo.,à leur prochaine ouverture.,neu eingelesen werden.,při opětovném otevření.,quando forem abertos novamente.,при повторном открытии.
STR_CLEARING_CACHE,Clearing cache...,Borrando caché...,Suppression du cache…,Cache leeren…,Mazání mezipaměti...,Limpando cache...,Очистка кэша...
STR_CACHE_CLEARED,Cache Cleared,Cache limpia,Cache supprimé,Cache geleert,Mezipaměť vymazána,Cache limpo,Кэш очищен
STR_ITEMS_REMOVED,items removed,Elementos eliminados,éléments supprimés,Einträge entfernt,položky odstraněny,itens removidos,элементов удалено
STR_FAILED_LOWER,failed,Falló,ont échoué,fehlgeschlagen,selhalo,falhou,ошибка
STR_CLEAR_CACHE_FAILED,Failed to clear cache,No se pudo borrar la cache,Échec de la suppression du cache,Fehler beim Cache-Leeren,Vymazání mezipaměti se nezdařilo,Falha ao limpar o cache,Не удалось очистить кэш
STR_CHECK_SERIAL_OUTPUT,Check serial output for details,Verifique la salida serial para detalles,Vérifiez la console série pour plus de détails,Serielle Ausgabe prüfen,Podrobnosti naleznete v sériovém výstupu,Ver saída serial,Проверьте вывод по UART для деталей
STR_DARK,Dark,Oscuro,Sombre,Dunkel,Tmavý,Escuro,Тёмная
STR_LIGHT,Light,Claro,Clair,Hell,Světlý,Claro,Светлая
STR_CUSTOM,Custom,Personalizado,Custom,Eigenes,Vlastní,Personalizado,Своя
STR_COVER,Cover,Portada,Couverture,Umschlag,Obálka,Capa,Обложка
STR_NONE_OPT,None,Ninguno,Aucun,Leer,Žádný,Nenhum,Нет
STR_FIT,Fit,Ajustar,Ajusté,Anpassen,Přizpůsobit,Ajustar,Вписать
STR_CROP,Crop,Recortar,Rogné,Zuschnitt,Oříznout,Recortar,Обрезать
STR_NO_PROGRESS,No Progress,Sin avance,Sans progression,Ohne Fortschr.,Žádný postup,Sem progresso,Без прогресса
STR_FULL_OPT,Full,Completa,Complète,Vollst.,Plná,Completo,Полная
STR_NEVER,Never,Nunca,Jamais,Nie,Nikdy,Nunca,Никогда
STR_IN_READER,In Reader,En el lector,Dans le lecteur,Beim Lesen,Ve čtečce,No leitor,В режиме чтения
STR_ALWAYS,Always,Siempre,Toujours,Immer,Vždy,Sempre,Всегда
STR_IGNORE,Ignore,Ignorar,Ignorer,Ignorieren,Ignorovat,Ignorar,Игнорировать
STR_SLEEP,Sleep,Dormir,Mise en veille,Standby,Spánek,Repouso,Сон
STR_PAGE_TURN,Page Turn,Paso de página,Page suivante,Umblättern,Otáčení stránek,Virar página,Перелистывание
STR_PORTRAIT,Portrait,Portrato,Portrait,Hochformat,Na výšku,Retrato,Портрет
STR_LANDSCAPE_CW,Landscape CW,Paisaje sentido horario,Paysage,Querformat rechts,Na šířku po směru hod. ručiček,Paisagem H,Ландшафт (по часовой)
STR_INVERTED,Inverted,Invertido,Inversé,Invertiert,Invertovaný,Invertido,Перевёрнуто
STR_LANDSCAPE_CCW,Landscape CCW,Paisaje sentido antihorario,Paysage inversé,Querformat links,Na šířku proti směru hod. ručiček,Paisagem AH,Ландшафт (против часовой)
STR_FRONT_LAYOUT_BCLR,"Bck, Cnfrm, Lft, Rght","Atrás, Confirmar, Izquierda, Derecha","Ret, OK, Gauche, Droite","Zurück, Bst, L, R","Zpět, Potvrdit, Vlevo, Vpravo","Vol, Conf, Esq, Dir","Наз, ОК, Лев, Прав "
STR_FRONT_LAYOUT_LRBC,"Lft, Rght, Bck, Cnfrm","Izquierda, Derecha, Atrás, Confirmar","Gauche, Droite, Ret, OK","L, R, Zurück, Bst","Vlevo, Vpravo, Zpět, Potvrdit","Esq, Dir, Vol, Conf","Лев, Прав, Наз, ОК "
STR_FRONT_LAYOUT_LBCR,"Lft, Bck, Cnfrm, Rght","Izquierda, Atrás, Confirmar, Derecha","Gauche, Ret, OK, Droite","L, Zurück, Bst, R","Vlevo, Zpět, Potvrdit, Vpravo","Esq, Vol, Conf, Dir","Лев,  Наз, ОК, Прав "
STR_PREV_NEXT,Prev/Next,Anterior/Siguiente,Prec/Suiv,Zurück/Weiter,Předchozí/Další,Ant/Próx,Назад/Вперёд
STR_NEXT_PREV,Next/Prev,Siguiente/Anterior,Suiv/Prec,Weiter/Zuürck,Další/Předchozí,Próx/Ant,Вперёд/Назад
STR_BOOKERLY,Bookerly,Relacionado con libros,Bookerly,Bookerly,Bookerly,Bookerly,Bookerly
STR_NOTO_SANS,Noto Sans,Noto Sans,Noto Sans,Noto Sans,Noto Sans,Noto Sans,Noto Sans
STR_OPEN_DYSLEXIC,Open Dyslexic,Open Dyslexic,Open Dyslexic,Open Dyslexic,Open Dyslexic,Open Dyslexic,Open Dyslexic
STR_SMALL,Small,Pequeño,Petite,Klein,Malý,Pequeno,Маленький
STR_MEDIUM,Medium,Medio,Moyenne,Mittel,Střední,Médio,Средний
STR_LARGE,Large,Grande,Grande,Groß,Velký,Grande,Большой
STR_X_LARGE,X Large,Extra grande,T Grande,Extragroß,Obří,Extra grande,Очень большой
STR_TIGHT,Tight,Ajustado,Serré,Eng,Těsný,Apertado,Узкий
STR_NORMAL,Normal,Normal,Normal,Normal,Normální,Normal,Обычный
STR_WIDE,Wide,Ancho,Large,Breit,Široký,Largo,Широкий
STR_JUSTIFY,Justify,Justificar,Justifier,Blocksatz,Zarovnat do bloku,Justificar,По ширине
STR_ALIGN_LEFT,Left,Izquierda,Gauche,Links,Vlevo,Esquerda,По левому краю
STR_CENTER,Center,Centro,Centre,Zentriert,Na střed,Centralizar,По центру
STR_ALIGN_RIGHT,Right,Derecha,Droite,Rechts,Vpravo,Direita,По правому краю
STR_MIN_1,1 min,1 Minuto,1 min,1 Min,1 min,1 min,1 мин
STR_MIN_5,5 min,10 Minutos,5 min,5 Min,5 min,5 min,5 мин
STR_MIN_10,10 min,5 Minutos,10 min,10 Min,10 min,10 min,10 мин
STR_MIN_15,15 min,15 Minutos,15 min,15 Min,15 min,15 min,15 мин
STR_MIN_30,30 min,30 Minutos,30 min,30 Min,30 min,30 min,30 мин
STR_PAGES_1,1 page,1 Página,1 page,1 Seite,1 stránka,1 página,1 стр.
STR_PAGES_5,5 pages,5 Páginas,5 pages,5 Seiten,5 stránek,5 páginas,5 стр.
STR_PAGES_10,10 pages,10 Páginas,10 pages,10 Seiten,10 stránek,10 páginas,10 стр.
STR_PAGES_15,15 pages,15 Páginas,15 pages,15 Seiten,15 stránek,15 páginas,15 стр.
STR_PAGES_30,30 pages,30 Páginas,30 pages,30 Seiten,30 stránek,30 páginas,30 стр.
STR_UPDATE,Update,ActualizaR,Mise à jour,Update,Aktualizace,Atualizar,Обновление
STR_CHECKING_UPDATE,Checking for update...,Verificando actualización...,Recherche de mises à jour en cours…,Update suchen…,Kontrola aktualizací…,Verificando atualização...,Проверка обновлений...
STR_NEW_UPDATE,New update available!,¡Nueva actualización disponible!,Nouvelle mise à jour disponible !,Neues Update verfügbar!,Nová aktualizace k dispozici!,Nova atualização disponível!,Доступно новое обновление!
STR_CURRENT_VERSION,Current Version: ,Versión actual:,Version actuelle :,Aktuelle Version:,Aktuální verze:,Versão atual:,Текущая версия: 
STR_NEW_VERSION,New Version: ,Nueva versión:,Nouvelle version : ,Neue Version:,Nová verze:,Nova versão:,Новая версия: 
STR_UPDATING,Updating...,Actualizando...,Mise à jour en cours…,Aktualisiere…,Aktualizace...,Atualizando...,Обновление...
STR_NO_UPDATE,No update available,No hay actualizaciones disponibles,Aucune mise à jour disponible,Kein Update verfügbar,Žádná aktualizace k dispozici,Nenhuma atualização disponível,Обновлений нет
STR_UPDATE_FAILED,Update failed,Falló la actualización,Échec de la mise à jour,Updatefehler,Aktualizace selhala,Falha na atualização,Ошибка обновления
STR_UPDATE_COMPLETE,Update complete,Actualización completada,Mise à jour effectuée,Update fertig,Aktualizace dokončena,Atualização concluída,Обновление завершено
STR_POWER_ON_HINT,Press and hold power button to turn back on,Presione y mantenga presionado el botón de encendido para volver a encender,Maintenir le bouton d’alimentation pour redémarrer,"An-Knopf lang drücken, um neuzustarten",Stiskněte a podržte tlačítko napájení pro opětovné zapnutí,Pressione e segure o botão energia ligar novamente,Удерживайте кнопку питания для включения
STR_EXTERNAL_FONT,External Font,Fuente externa,Police externe,Externe Schrift,Externí písmo,Fonte externa,Внешний шрифт
STR_BUILTIN_DISABLED,Built-in (Disabled),Incorporado (Desactivado),Intégrée (désactivée),Vorinstalliert (aus),Vestavěné (Zakázáno),Integrada (desativada),Встроенный (отключён)
STR_NO_ENTRIES,No entries found,No se encontraron elementos,Aucune entrée trouvée,Keine Einträge,Žádné položky nenalezeny,Nenhum entries encontrado,Записи не найдены
STR_DOWNLOADING,Downloading...,Descargando...,Téléchargement en cours…,Herunterladen…,Stahování...,Baixando...,Загрузка...
STR_DOWNLOAD_FAILED,Download failed,Falló la descarga,Échec du téléchargement,Ladefehler,Stahování selhalo,Falha no download,Ошибка загрузки
STR_ERROR_MSG,Error:,Error,Erreur : ,Fehler:,Chyba:,Erro:,Ошибка:
STR_UNNAMED,Unnamed,Sin nombre,Sans titre,Unbenannt,Nepojmenované,Sem nome,Без имени
STR_NO_SERVER_URL,No server URL configured,No se ha configurado la url del servidor,Aucune URL serveur configurée,Keine Server-URL konfiguriert,Není nakonfigurována adresa URL serveru,Nenhum URL servidor configurado,URL сервера не настроен
STR_FETCH_FEED_FAILED,Failed to fetch feed,Failed to fetch feed,Échec du téléchargement du flux,Feedfehler,Načtení kanálu se nezdařilo,Falha ao buscar o feed,Не удалось получить ленту
STR_PARSE_FEED_FAILED,Failed to parse feed,Failed to parse feed,Échec de l’analyse du flux,Feed-Format ungültig,Analyzování kanálu se nezdařilo,Falha ao interpretar o feed,Не удалось обработать ленту
STR_NETWORK_PREFIX,Network: ,Red: ,Réseau : ,Netzwerk:,Síť:,Rede:,Сеть: 
STR_IP_ADDRESS_PREFIX,IP Address: ,Dirección IP: ,Adresse IP : ,IP-Adresse:,IP adresa:,Endereço IP:,IP-адрес: 
STR_SCAN_QR_WIFI_HINT,or scan QR code with your phone to connect to Wifi.,O escanee el código QR con su teléfono para conectarse a WI-FI.,or scan QR code with your phone to connect to Wifi.,oder QR-Code mit dem Handy scannen für WLAN.,nebo naskenujte QR kód telefonem pro připojení k Wi-Fi.,ou escaneie o QR code com seu celular conectar ao Wi‑Fi.,или отсканируйте QR-код для подключения к Wi-Fi.
STR_ERROR_GENERAL_FAILURE,Error: General failure,Error: Fallo general,Erreur : Échec général,Fehler: Allgemeiner Fehler,Chyba: Obecná chyba,Erro: falha geral,Ошибка: Общая ошибка
STR_ERROR_NETWORK_NOT_FOUND,Error: Network not found,Error: Red no encontrada,Erreur : Réseau introuvable,Fehler: Kein Netzwerk,Chyba: Síť nenalezena,Erro: rede não encontrada,Ошибка: Сеть не найдена
STR_ERROR_CONNECTION_TIMEOUT,Error: Connection timeout,Error: Connection timeout,Erreur : Délai de connexion dépassé,Fehler: Zeitüberschreitung,Chyba: Časový limit připojení,Erro: tempo limite conexão,Ошибка: Тайм-аут соединения
STR_SD_CARD,SD card,Tarjeta SD,Carte SD,SD-Karte,SD karta,Cartão SD,SD-карта
STR_BACK,« Back,« Atrás,« Retour,« Zurück,« Zpět,« Voltar,В« Назад
STR_EXIT,« Exit,« SaliR,« Sortie,« Verlassen,« Konec,« Sair,В« Выход
STR_HOME,« Home,« Inicio,« Accueil,« Start,« Domů,« Início,В« Главная
STR_SAVE,« Save,« Guardar,« Sauver,« Speichern,« Uložit,« Salvar,В« Сохранить
STR_SELECT,Select,Seleccionar,OK,Auswahl,Vybrat,Selecionar,Выбрать
STR_TOGGLE,Toggle,Cambiar,Modifier,Ändern,Přepnout,Alternar,Переключить
STR_CONFIRM,Confirm,Confirmar,Confirmer,Bestätigen,Potvrdit,Confirmar,Подтвердить
STR_CANCEL,Cancel,Cancelar,Annuler,Abbrechen,Zrušit,Cancelar,Отмена
STR_CONNECT,Connect,Conectar,OK,Verbinden,Připojit,Conectar,Подключить
STR_OPEN,Open,Abrir,Ouvrir,Öffnen,Otevřít,Abrir,Открыть
STR_DOWNLOAD,Download,Descargar,Télécharger,Herunterladen,Stáhnout,Baixar,Скачать
STR_RETRY,Retry,Reintentar,Réessayer,Wiederh.,Zkusit znovu,Tentar novamente,Повторить
STR_YES,Yes,Sí,Oui,Ja,Ano,Sim,Да
STR_NO,No,No,Non,Nein,Ne,Não,Нет
STR_STATE_ON,ON,ENCENDIDO,ON,An,ZAP,LIGADO,ВКЛ
STR_STATE_OFF,OFF,APAGADO,OFF,Aus,VYP,DESLIGADO,ВЫКЛ
STR_SET,Set,Configurar,Défini,Gesetzt,Nastavit,Definir,Установлено
STR_NOT_SET,Not Set,No configurado,Non défini,Leer,Nenastaveno,Não definido,Не установлено
STR_DIR_LEFT,Left,Izquierda,Gauche,Links,Vlevo,Esquerda,Влево
STR_DIR_RIGHT,Right,Derecha,Droite,Rechts,Vpravo,Direita,Вправо
STR_DIR_UP,Up,Arriba,Haut,Hoch,Nahoru,Acima,Вверх
STR_DIR_DOWN,Down,Abajo,Bas,Runter,Dolů,Abaixo,Вниз
STR_CAPS_ON,CAPS,MAYÚSCULAS,MAJ,UMSCH,PÍSMO,CAPS,CAPS
STR_CAPS_OFF,caps,caps,maj,umsch,písmo,caps,caps
STR_OK_BUTTON,OK,OK,OK,OK,OK,OK,OK
STR_ON_MARKER,[ON],[ENCENDIDO],[ON],[AN],[ZAP],[ON],[ВКЛ]
STR_SLEEP_COVER_FILTER,Sleep Screen Cover Filter,Filtro de salva pantalla y protección de la pantalla,Filtre affichage veille,Standby-Coverfilter,Filtr obrazovky spánku,Filtro capa tela repouso,Фильтр обложки сна
STR_FILTER_CONTRAST,Contrast,Contraste,Contraste,Kontrast,Kontrast,Contraste,Контраст
STR_STATUS_BAR_FULL_PERCENT,Full w/ Percentage,Completa con porcentaje,Complète + %,Komplett + Prozent,Plný s procenty,Completa com porcentagem,Полная + процент
STR_STATUS_BAR_FULL_BOOK,Full w/ Book Bar,Completa con progreso del libro,Complète + barre livre,Komplett + Buch,Plný s pruhem knih,Completa com barra livro,Полная + индикатор книги
STR_STATUS_BAR_BOOK_ONLY,Book Bar Only,Solo progreso del libro,Barre livre,Nur Buch,Pouze pruh knih,Apenas barra do livro,Только индикатор книги
STR_STATUS_BAR_FULL_CHAPTER,Full w/ Chapter Bar,Completa con progreso de capítulos,Complète + barre chapitre,Komplett + Kapitel,Plná s pruhem kapitol,Completa com barra capítulo,Полная + индикатор главы
STR_UI_THEME,UI Theme,Estilo de pantalla,Thème de l’interface,System-Design,Šablona rozhraní,Tema da interface,Тема интерфейса
STR_THEME_CLASSIC,Classic,Clásico,Classique,Klassisch,Klasická,Clássico,Классическая
STR_THEME_LYRA,Lyra,LYRA,Lyra,Lyra,Lyra,Lyra,Lyra
STR_SUNLIGHT_FADING_FIX,Sunlight Fading Fix,Corrección de desvastado por sol,Amélioration de la lisibilité au soleil,Anti-Verblassen,Oprava blednutí na slunci,Correção de desbotamento ao sol,Исправление выцветания на солнце
STR_REMAP_FRONT_BUTTONS,Remap Front Buttons,Reconfigurar botones frontales,Réassigner les boutons avant,Vordere Tasten belegen,Přemapovat přední tlačítka,Remapear botões frontais,Переназначить передние кнопки
STR_OPDS_BROWSER,OPDS Browser,Navegador opds,Navigateur OPDS,OPDS-Browser,Prohlížeč OPDS,Navegador OPDS,OPDS браузер
STR_COVER_CUSTOM,Cover + Custom,Portada + Personalizado,Couverture + Custom,Umschlag + Eigenes,Obálka + Vlastní,Capa + personalizado,Обложка + Своя
STR_RECENTS,Recents,Recientes,Récents,Zuletzt,Nedávné,Recentes,Недавние
STR_MENU_RECENT_BOOKS,Recent Books,Libros recientes,Livres récents,Zuletzt gelesen,Nedávné knihy,Livros recentes,Недавние книги
STR_NO_RECENT_BOOKS,No recent books,No hay libros recientes,Aucun livre récent,Keine Bücher,Žádné nedávné knihy,Sem livros recentes,Нет недавних книг
STR_CALIBRE_DESC,Use Calibre wireless device transfers,Utilice las transferencias dispositivos inalámbricos de calibre,Utiliser les transferts sans fil Calibre,Calibre-Übertragung (WLAN),Používat přenosy bezdrátových zařízení Calibre,Usar transferências sem fio Calibre,Использовать беспроводную передачу Calibre
STR_FORGET_AND_REMOVE,Forget network and remove saved password?,Olvidar la red y eliminar la contraseña guardada?,Oublier le réseau et supprimer le mot de passe enregistré ?,WLAN entfernen & Passwort löschen?,Zapomenout síť a odstranit uložené heslo?,Esquecer a rede e remover a senha salva?,Забыть сеть и удалить сохранённый пароль?
STR_FORGET_BUTTON,Forget network,Olvidar la red,Oublier le réseau,WLAN entfernen,Zapomenout na síť,Esquecer rede,Забыть сеть
STR_CALIBRE_STARTING,Starting Calibre...,Iniciando calibre...,Démarrage de Calibre...,Calibre starten…,Spuštění Calibre...,Iniciando Calibre...,Запуск Calibre...
STR_CALIBRE_SETUP,Setup,Configuración,Configuration,Installation,Nastavení,Configuração,Настройка
STR_CALIBRE_STATUS,Status,Estado,Statut,Status,Stav,Status,Статус
STR_CLEAR_BUTTON,Clear,Borrar,Effacer,Leeren,Vymazat,Limpar,Очистить
STR_DEFAULT_VALUE,Default,Previo,Défaut,Standard,Výchozí,Padrão,По умолчанию
STR_REMAP_PROMPT,Press a front button for each role,Presione un botón frontal para cada función,Appuyez sur un bouton avant pour chaque rôle,Entsprechende Vordertaste drücken,Stiskněte přední tlačítko pro každou roli,Pressione um botão frontal cada função,Назначьте роль для каждой кнопки
STR_UNASSIGNED,Unassigned,No asignado,Non assigné,Leer,Nepřiřazeno,Não atribuído,Не назначено
STR_ALREADY_ASSIGNED,Already assigned,Ya asignado,Déjà assigné,Bereits zugeordnet,Již přiřazeno,Já atribuído,Уже назначено
STR_REMAP_RESET_HINT,Side button Up: Reset to default layout,Botón lateral arriba: Restablecer a la configuración previo,Bouton latéral haut : Réinitialiser,Seitentaste hoch: Standard,Boční tlačítko Nahoru: Obnovit výchozí rozvržení,Botão lateral cima: redefinir o disposição padrão,Боковая кнопка вверх: сбросить по умолчанию
STR_REMAP_CANCEL_HINT,Side button Down: Cancel remapping,Botón lateral abajo: Anular reconfiguración,Bouton latéral bas : Annuler le réglage,Seitentaste runter: Abbrechen,Boční tlačítko Dolů: Zrušit přemapování,Botão lateral baixo: cancelar remapeamento,Боковая кнопка вниз: отменить переназначение
STR_HW_BACK_LABEL,Back (1st button),Atrás (Primer botón),Retour (1er bouton),Zurück (1. Taste),Zpět (1. tlačítko),Voltar (1º botão),Назад (1-я кнопка)
STR_HW_CONFIRM_LABEL,Confirm (2nd button),Confirmar (Segundo botón),OK (2ème bouton),Bestätigen (2. Taste),Potvrdit (2. tlačítko),Confirmar (2º botão),Подтвердить (2-я кнопка)
STR_HW_LEFT_LABEL,Left (3rd button),Izquierda (Tercer botón),Gauche (3ème bouton),Links (3. Taste),Vlevo (3. tlačítko),Esquerda (3º botão),Влево (3-я кнопка)
STR_HW_RIGHT_LABEL,Right (4th button),Derecha (Cuarto botón),Droite (4ème bouton),Rechts (4. Taste),Vpravo (4. tlačítko),Direita (4º botão),Вправо (4-я кнопка)
STR_GO_TO_PERCENT,Go to %,Ir a %,Aller à %,Gehe zu %,Přejít na %,Ir para %,Перейти к %
STR_GO_HOME_BUTTON,Go Home,Volver a inicio,Aller à l’accueil,Zum Anfang,Přejít Domů,Ir para o início,На главную
STR_SYNC_PROGRESS,Sync Progress,Progreso de síncronización,Synchroniser la progression,Fortschritt synchronisieren,Průběh synchronizace,Sincronizar progresso,Синхронизировать прогресс
STR_DELETE_CACHE,Delete Book Cache,Borrar cache del libro,Supprimer le cache du livre,Buch-Cache leeren,Smazat mezipaměť knihy,Excluir cache do livro,Удалить кэш книги
STR_CHAPTER_PREFIX,Chapter: ,Capítulo:,Chapitre : ,Kapitel:,Kapitola:,Capítulo:,Глава: 
STR_PAGES_SEPARATOR, pages  |  , Páginas |, pages  |  , Seiten  |  ,stránek |,páginas  |,стр.  |  
STR_BOOK_PREFIX,Book: ,Libro:,Livre : ,Buch: ,Kniha:,Livro:,Книга: 
STR_KBD_SHIFT,shift,shift,maj,umsch,shift,shift,shift
STR_KBD_SHIFT_CAPS,SHIFT,SHIFT,MAJ,UMSCH,SHIFT,SHIFT,SHIFT
STR_KBD_LOCK,LOCK,BLOQUEAR,VERR MAJ,FESTST,ZÁMEK,TRAVAR,LOCK
STR_CALIBRE_URL_HINT,"For Calibre, add /opds to your URL","Para calibre, agregue /opds a su urL","Pour Calibre, ajoutez /opds à l’URL",Calibre: URL um /opds ergänzen,Pro Calibre přidejte /opds do URL adresy,"Para o Calibre, adicione /opds ao seu URL",Для Calibre добавьте /opds к URL
STR_PERCENT_STEP_HINT,Left/Right: 1%  Up/Down: 10%,Izquierda/Derecha: 1% Arriba/Abajo: 10%,Gauche/Droite : 1%  Haut/Bas : 10%,links/rechts: 1% hoch/runter: 10%,Vlevo/Vpravo: 1 % Nahoru/Dolů: 10 %,Esq/Dir: 1%  Cima/Baixo: 10%,Влево/Вправо: 1%  Вверх/Вниз: 10%
STR_SYNCING_TIME,Syncing time...,Tiempo de síncronización...,Synchronisation de l’heure…,Zeit synchonisieren…,Čas synchronizace...,Sincronizando horário...,Синхронизация времени...
STR_CALC_HASH,Calculating document hash...,Calculando hash del documento...,Calcul du hash du document…,Dokument-Hash berechnen…,Výpočet hashe dokumentu...,Calculando hash documento...,Расчёт хэша документа...
STR_HASH_FAILED,Failed to calculate document hash,No se pudo calcular el hash del documento,Échec du calcul du hash du document,Dokument-Hash fehlgeschlagen,Nepodařilo se vypočítat hash dokumentu,Falha ao calcular o hash documento,Не удалось вычислить хэш документа
STR_FETCH_PROGRESS,Fetching remote progress...,Recuperando progreso remoto...,Téléchargement de la progression…,Externen Fortschritt abrufen...,Načítání vzdáleného průběhu...,Buscando progresso remoto...,Получение удалённого прогресса...
STR_UPLOAD_PROGRESS,Uploading progress...,Subiendo progreso...,Envoi de la progression…,Fortschritt hochladen…,Průběh nahrávání...,Enviando progresso...,Отправка прогресса...
STR_NO_CREDENTIALS_MSG,No credentials configured,No se han configurado credenciales,Aucun identifiant configuré,Zugangsdaten fehlen,Přihlašovací údaje nejsou nakonfigurovány,Nenhuma credencial configurada,Данные для входа не настроены
STR_KOREADER_SETUP_HINT,Set up KOReader account in Settings,Configure una cuenta de KOReader en la configuración,Configurez le compte KOReader dans les réglages,KOReader-Konto unter Einst. anlegen,Nastavit účet KOReader v Nastavení,Configure a conta do KOReader em Config.,Настройте аккаунт KOReader в настройках
STR_PROGRESS_FOUND,Progress found!,¡Progreso encontrado!,Progression trouvée !,Gefunden!,Nalezen průběh!,Progresso encontrado!,Прогресс найден!
STR_REMOTE_LABEL,Remote:,Remoto,En ligne :,Extern:,Vzdálené:,Remoto:,Удалённый:
STR_LOCAL_LABEL,Local:,Local,Locale :,Lokal:,Lokální:,Local:,Локальный:
STR_PAGE_OVERALL_FORMAT,"Page %d, %.2f%% overall","Página %d, %.2f% Completada","Page %d, %.2f%% au total","  Seite %d, %.2f%% insgesamt","Stránka %d, celkově %.2f%%","Página %d, %.2f%% total","Страница %d,  %.2f%% всего"
STR_PAGE_TOTAL_OVERALL_FORMAT,"Page %d/%d, %.2f%% overall","Página %d / %d, %.2f% Completada","Page %d/%d, %.2f%% au total","  Seite %d/%d, %.2f%% insgesamt","Stránka %d/%d, celkově %.2f%%","Página %d/%d, %.2f%% total","Страница %d/%d,  %.2f%% всего"
STR_DEVICE_FROM_FORMAT,  From: %s,  De: %s,  De : %s,  Von: %s,  Od: %s,De: %s,От: %s
STR_APPLY_REMOTE,Apply remote progress,Aplicar progreso remoto,Appliquer la progression en ligne,Ext. Fortschritt übern.,Použít vzdálený postup,Aplicar progresso remoto,Применить удалённый прогресс
STR_UPLOAD_LOCAL,Upload local progress,Subir progreso local,Envoyer la progression locale,Lokalen Fortschritt hochl.,Nahrát lokální postup,Enviar progresso local,Отправить локальный прогресс
STR_NO_REMOTE_MSG,No remote progress found,No se encontró progreso remoto,Aucune progression en ligne trouvée,Kein externer Fortschritt,Nenalezen žádný vzdálený postup,Nenhum progresso remoto encontrado,Удалённый прогресс не найден
STR_UPLOAD_PROMPT,Upload current position?,Subir posicion actual?,Envoyer la position actuelle ?,Aktuelle Position hochladen?,Nahrát aktuální pozici?,Enviar posição atual?,Отправить текущую позицию?
STR_UPLOAD_SUCCESS,Progress uploaded!,¡Progreso subido!,Progression envoyée !,Hochgeladen!,Postup nahrán!,Progresso enviado!,Прогресс отправлен!
STR_SYNC_FAILED_MSG,Sync failed,Fallo de síncronización,Échec de la synchronisation,Fehlgeschlagen,Synchronizace se nezdařila,Falha na sincronização,Ошибка синхронизации
STR_SECTION_PREFIX,Section ,Seccion,Section ,Abschnitt,Sekce,Seção,Раздел 
STR_UPLOAD,Upload,Subir,Envoi,Hochladen,Nahrát,Enviar,Отправить
STR_BOOK_S_STYLE,Book's Style,Estilo del libro,Style du livre,Buch-Stil,Styl knihy,Estilo do livro,Стиль книги
STR_EMBEDDED_STYLE,Embedded Style,Estilo integrado,Style intégré,Eingebetteter Stil,Vložený styl,Estilo embutido,Встроенный стиль
STR_OPDS_SERVER_URL,OPDS Server URL,URL del servidor OPDS,URL du serveur OPDS,OPDS-Server-URL,URL serveru OPDS,URL do servidor OPDS,URL OPDS сервера
